ProjectID,ProjectName,City,Region,Workstream,ProjectType,Complexity,CurrentPhase,RAGStatus,BaselineStartDate,BaselineEndDate,BaselineBudgetEUR,PrimaryDelayReason,PrimaryCostDriver,Sponsor,ProjectManager,ReadinessGateTargetDate
prj00114,Grid Automation – Swords – Upgrade 114,Swords,Dublin,Grid Automation,Upgrade,Medium,Construction,Amber,06-06-2025,27-04-2027,10708823,Outage Window,Scope Change,Infrastructure Director,PM - Hayes,02-02-2026
prj00115,Interconnector Onshore Works – Drogheda – Reinforcement 115,Drogheda,East,Interconnector Onshore Works,Reinforcement,Medium,Construction,Amber,16-05-2025,30-05-2028,90437688,Stakeholder/Community,Risk Realised,Programme Sponsor B,PM - O'Rourke,08-06-2026
PRJ 00116,Overhead Line – Dublin – Upgrade 116,Dublin,Dublin,Overhead Line,Upgrade,Low,Design,Red,25-11-2024,15-03-2027,35278399,Design Rework,Risk Realised,Onshore Delivery Lead,PM - Hayes,14-09-2025
PRJ 00117,Grid Automation – Swords – Upgrade 117,Swords,Dublin,Grid Automation,Upgrade,High,Planning & Consents,Green,15-12-2024,25-10-2028,12861115,Land Access/Wayleaves,Risk Realised,Infrastructure Director,PM - O'Rourke,22-04-2026
prj00118,Substation Build – Longford – Upgrade 118,Longford,Midlands,Substation Build,Upgrade,Low,Procurement,Green,21-08-2025,07-04-2028,51267055,Design Rework,Contractor Claims,Onshore Delivery Lead,PM - Keane,23-07-2026
PRJ00119,Interconnector Onshore Works – Blanchardstown – New Build 119,Blanchardstown,Dublin,Interconnector Onshore Works,New Build,Low,Procurement,Red,18-01-2024,02-04-2027,82472758,Outage Window,Inflation/Materials,Onshore Delivery Lead,PM - Nolan,02-03-2025
Prj00120,Substation Upgrade – Portlaoise – New Build 120,Portlaoise,Midlands,Substation Upgrade,New Build,Medium,Construction,Green,29-11-2023,17-05-2026,31616600,Contractor Capacity,Design Rework,Interconnector Sponsor,PM - Walsh,09-10-2024
 PRJ00121 ,Overhead Line – Waterford – Upgrade 121,Waterford,South,Overhead Line,Upgrade,High,Construction,Red,08-07-2023,22-06-2026,41058787,Land Access/Wayleaves,FX/Imports,Onshore Delivery Lead,PM - Kelly,20-07-2024
PRJ00122,Substation Build – Castlebar – Reinforcement 122,Castlebar,West,Substation Build,Reinforcement,Medium,Planning & Consents,Amber,03-05-2025,17-04-2028,77686154,Weather/Events,Design Rework,Onshore Delivery Lead,PM - Walsh,16-05-2026
PRJ00123 ,Grid Automation – Bray – Reinforcement 123,Bray,East,Grid Automation,Reinforcement,Medium,Commissioning,Green,11-09-2023,29-11-2025,11654500,Permits/Consents,Scope Change,Programme Sponsor B,PM - O'Rourke,20-06-2024
prj00124,Overhead Line – Dundalk – New Build 124,Dundalk,East,Overhead Line,New Build,Low,Design,Amber,13-01-2025,27-02-2028,34576098,Land Access/Wayleaves,Design Rework,Programme Sponsor B,PM - Fitzgerald,15-02-2026
PRJ00125 ,Interconnector Onshore Works – Dundalk – Upgrade 125,Dundalk,East,Interconnector Onshore Works,Upgrade,Medium,Design,Green,11-02-2026,03-11-2027,48628055,Outage Window,Contractor Claims,Onshore Delivery Lead,PM - Fitzgerald,19-09-2026
PRJ00126 ,Substation Build – Swords – Upgrade 126,Swords,Dublin,Substation Build,Upgrade,Medium,Planning & Consents,Amber,09-01-2024,27-07-2026,73831317,Contractor Capacity,Scope Change,Programme Sponsor B,PM - Byrne,29-11-2024
Prj00127,Interconnector Onshore Works – Waterford – New Build 127,Waterford,South,Interconnector Onshore Works,New Build,Low,Procurement,Amber,18-03-2023,06-05-2025,92234466,Permits/Consents,Scope Change,Infrastructure Director,PM - Walsh,16-12-2023
PRJ00128,Overhead Line – Ennis – Upgrade 128,Ennis,West,Overhead Line,Upgrade,High,Commissioning,Amber,29-12-2023,12-01-2027,48259269,Contractor Capacity,Risk Realised,Programme Sponsor B,PM - Ryan,20-01-2025
prj00129,Substation Upgrade – Mullingar – Reinforcement 129,Mullingar,Midlands,Substation Upgrade,Reinforcement,Low,Construction,Green,19-06-2025,12-09-2026,22405397,Weather/Events,Contractor Claims,Infrastructure Director,PM - Murphy,23-11-2025
PRJ00130,Underground Cable – Longford – New Build 130,Longford,Midlands,Underground Cable,New Build,Medium,Procurement,Green,28-08-2024,16-03-2027,65798681,Outage Window,Design Rework,Infrastructure Director,PM - Ryan,19-07-2025
prj00131,Substation Build – Letterkenny – New Build 131,Letterkenny,Northwest,Substation Build,New Build,Medium,Construction,Green,02-12-2023,14-07-2027,56150264,Land Access/Wayleaves,Contractor Claims,Interconnector Sponsor,PM - Hayes,07-03-2025
PRJ 00132,Underground Cable – Kilkenny – Upgrade 132,Kilkenny,South,Underground Cable,Upgrade,Medium,Commissioning,Amber,20-04-2023,04-04-2026,56189172,Land Access/Wayleaves,Scope Change,Interconnector Sponsor,PM - Fitzgerald,02-05-2024
Prj00133,Overhead Line – Clonmel – Reinforcement 133,Clonmel,South,Overhead Line,Reinforcement,High,Construction,Red,30-07-2023,09-02-2027,64915442,Land Access/Wayleaves,Productivity Delay,Programme Sponsor A,PM - Kelly,23-10-2024
prj00134,Substation Build – Ballina – Upgrade 134,Ballina,West,Substation Build,Upgrade,High,Construction,Green,12-06-2025,22-04-2029,65864046,Permits/Consents,Inflation/Materials,Onshore Delivery Lead,PM - Ryan,18-10-2026
Prj00135,Overhead Line – Blanchardstown – Reinforcement 135,Blanchardstown,Dublin,Overhead Line,Reinforcement,Low,Commissioning,Green,13-06-2024,30-12-2026,44358341,Permits/Consents,Scope Change,Programme Sponsor B,PM - O'Rourke,04-05-2025
Prj00136,Substation Upgrade – Waterford – Reinforcement 136,Waterford,South,Substation Upgrade,Reinforcement,Low,Concept,Red,17-03-2023,30-01-2026,21874445,Land Access/Wayleaves,Productivity Delay,Onshore Delivery Lead,PM - Fitzgerald,18-03-2024
PRJ00137 ,Substation Upgrade – Tralee – Upgrade 137,Tralee,South,Substation Upgrade,Upgrade,Medium,Construction,Green,04-02-2026,24-05-2028,29499486,Design Rework,Productivity Delay,Programme Sponsor A,PM - Byrne,24-11-2026
Prj00138,Interconnector Onshore Works – Ennis – Upgrade 138,Ennis,West,Interconnector Onshore Works,Upgrade,Medium,Construction,Amber,05-08-2023,26-05-2025,58346514,Procurement/Long Lead,Scope Change,Infrastructure Director,PM - Murphy,23-03-2024
PRJ00139,Underground Cable – Bray – New Build 139,Bray,East,Underground Cable,New Build,Medium,Procurement,Red,04-01-2025,20-11-2027,60848090,Land Access/Wayleaves,Scope Change,Programme Sponsor A,PM - Nolan,06-01-2026
PRJ-00140,Substation Build – Kilkenny – New Build 140,Kilkenny,South,Substation Build,New Build,Medium,Design,Amber,20-10-2025,05-08-2028,91034003,Stakeholder/Community,Design Rework,Infrastructure Director,PM - Walsh,11-10-2026
PRJ 00141,Reactive Compensation – Limerick – Reinforcement 141,Limerick,South,Reactive Compensation,Reinforcement,Medium,Design,Green,22-09-2023,09-05-2026,22776682,Procurement/Long Lead,Productivity Delay,Onshore Delivery Lead,PM - Fitzgerald,23-08-2024
prj00142,Overhead Line – Navan – New Build 142,Navan,East,Overhead Line,New Build,Medium,Construction,Amber,23-03-2024,03-11-2027,77833377,Permits/Consents,Scope Change,Onshore Delivery Lead,PM - Kelly,27-06-2025
PRJ00143,Underground Cable – Swords – New Build 143,Swords,Dublin,Underground Cable,New Build,Medium,Construction,Green,11-01-2023,01-03-2025,75250771,Contractor Capacity,Design Rework,Programme Sponsor B,PM - Hayes,11-10-2023
PRJ-00144,Overhead Line – Bray – New Build 144,Bray,East,Overhead Line,New Build,High,Planning & Consents,Green,17-01-2025,26-01-2029,78212745,Permits/Consents,Inflation/Materials,Programme Sponsor A,PM - Byrne,15-06-2026
 PRJ00145 ,Underground Cable – Letterkenny – New Build 145,Letterkenny,Northwest,Underground Cable,New Build,Medium,Construction,Red,09-11-2024,21-07-2028,74166784,Permits/Consents,Design Rework,Programme Sponsor B,PM - Ryan,24-02-2026
PRJ_00146,Reactive Compensation – Blanchardstown – Upgrade 146,Blanchardstown,Dublin,Reactive Compensation,Upgrade,High,Construction,Amber,15-04-2024,24-02-2028,20530414,Design Rework,Risk Realised,Programme Sponsor B,PM - O'Rourke,21-08-2025
Prj00147,Substation Upgrade – Swords – Reinforcement 147,Swords,Dublin,Substation Upgrade,Reinforcement,High,Procurement,Green,05-11-2023,23-04-2026,38339413,Land Access/Wayleaves,Scope Change,Infrastructure Director,PM - O'Rourke,15-09-2024
PRJ00148,Grid Automation – Bray – New Build 148,Bray,East,Grid Automation,New Build,Medium,Design,Amber,11-03-2023,25-03-2026,11911487,Contractor Capacity,Contractor Claims,Interconnector Sponsor,PM - Kelly,02-04-2024
PRJ00149,Underground Cable – Swords – Upgrade 149,Swords,Dublin,Underground Cable,Upgrade,Medium,Design,Green,27-12-2023,18-08-2025,38712585,Procurement/Long Lead,Design Rework,Programme Sponsor B,PM - Hayes,24-07-2024
PRJ00150,Underground Cable – Drogheda – New Build 150,Drogheda,East,Underground Cable,New Build,High,Construction,Amber,08-03-2023,14-08-2027,84617245,Weather/Events,Risk Realised,Onshore Delivery Lead,PM - Murphy,25-09-2024
PRJ00151,Substation Upgrade – Ballina – Reinforcement 151,Ballina,West,Substation Upgrade,Reinforcement,Medium,Procurement,Amber,09-04-2025,28-06-2027,32510236,Permits/Consents,Productivity Delay,Programme Sponsor A,PM - Kelly,17-01-2026
Prj00152,Substation Upgrade – Dundalk – Reinforcement 152,Dundalk,East,Substation Upgrade,Reinforcement,High,Construction,Amber,17-01-2025,30-07-2028,40122367,Weather/Events,Productivity Delay,Infrastructure Director,PM - Hayes,13-04-2026
prj00153,Overhead Line – Cork – Upgrade 153,Cork,South,Overhead Line,Upgrade,Medium,Construction,Amber,03-06-2023,22-07-2025,48232487,Design Rework,Risk Realised,Infrastructure Director,PM - Byrne,02-03-2024
PRJ-00154,Substation Build – Blanchardstown – Upgrade 154,Blanchardstown,Dublin,Substation Build,Upgrade,Medium,Commissioning,Green,19-11-2023,08-11-2025,59106756,Weather/Events,Scope Change,Onshore Delivery Lead,PM - Fitzgerald,27-07-2024
PRJ 00155,Substation Build – Waterford – Reinforcement 155,Waterford,South,Substation Build,Reinforcement,Low,Construction,Green,20-01-2025,09-02-2027,55317807,Permits/Consents,Productivity Delay,Programme Sponsor A,PM - Ryan,09-10-2025
prj00156,Reactive Compensation – Swords – New Build 156,Swords,Dublin,Reactive Compensation,New Build,High,Planning & Consents,Green,07-11-2025,20-04-2029,31496573,Land Access/Wayleaves,Design Rework,Infrastructure Director,PM - Nolan,22-01-2027
PRJ00157,Substation Upgrade – Galway – Reinforcement 157,Galway,West,Substation Upgrade,Reinforcement,Low,Design,Green,19-07-2025,04-05-2028,27888097,Permits/Consents,Inflation/Materials,Interconnector Sponsor,PM - Walsh,10-07-2026
PRJ00158 ,Reactive Compensation – Navan – Reinforcement 158,Navan,East,Reactive Compensation,Reinforcement,High,Construction,Green,13-03-2026,26-01-2029,26378549,Weather/Events,Productivity Delay,Interconnector Sponsor,PM - Fitzgerald,15-03-2027
PRJ00159,Substation Build – Tallaght – Reinforcement 159,Tallaght,Dublin,Substation Build,Reinforcement,Medium,Concept,Green,12-02-2023,02-04-2025,73720766,Land Access/Wayleaves,Contractor Claims,Onshore Delivery Lead,PM - Hayes,12-11-2023
PRJ00160,Reactive Compensation – Clonmel – Reinforcement 160,Clonmel,South,Reactive Compensation,Reinforcement,High,Procurement,Green,11-10-2024,23-05-2028,31719436,Land Access/Wayleaves,Scope Change,Programme Sponsor B,PM - Walsh,15-01-2026
 PRJ00161 ,Substation Upgrade – Longford – Upgrade 161,Longford,Midlands,Substation Upgrade,Upgrade,Low,Design,Green,30-11-2024,23-07-2026,25996336,Procurement/Long Lead,Inflation/Materials,Programme Sponsor A,PM - Murphy,28-06-2025
PRJ 00162,Grid Automation – Navan – Upgrade 162,Navan,East,Grid Automation,Upgrade,Low,Planning & Consents,Amber,25-03-2023,10-09-2025,12414278,Stakeholder/Community,Scope Change,Onshore Delivery Lead,PM - Ryan,03-02-2024
prj00163,Interconnector Onshore Works – Blanchardstown – Upgrade 163,Blanchardstown,Dublin,Interconnector Onshore Works,Upgrade,High,Concept,Green,18-06-2025,02-07-2028,95641119,Procurement/Long Lead,Design Rework,Programme Sponsor A,PM - Kelly,11-07-2026
PRJ00164,Reactive Compensation – Galway – New Build 164,Galway,West,Reactive Compensation,New Build,Medium,Concept,Green,12-02-2024,31-07-2026,31679445,Permits/Consents,Risk Realised,Infrastructure Director,PM - Byrne,23-12-2024
PRJ00165,Overhead Line – Bray – Reinforcement 165,Bray,East,Overhead Line,Reinforcement,Medium,Planning & Consents,Amber,24-06-2024,12-10-2026,41778046,Land Access/Wayleaves,Scope Change,Programme Sponsor A,PM - Fitzgerald,13-04-2025
prj00166,Substation Build – Dublin – New Build 166,Dublin,Dublin,Substation Build,New Build,Low,Commissioning,Green,24-06-2023,09-01-2026,80874027,Contractor Capacity,Risk Realised,Programme Sponsor B,PM - Nolan,14-05-2024
PRJ00167,Grid Automation – Letterkenny – New Build 167,Letterkenny,Northwest,Grid Automation,New Build,Low,Design,Green,16-02-2023,03-10-2025,12593375,Procurement/Long Lead,Scope Change,Infrastructure Director,PM - Murphy,18-01-2024
PRJ00168 ,Underground Cable – Dublin – Reinforcement 168,Dublin,Dublin,Underground Cable,Reinforcement,High,Commissioning,Green,15-07-2023,27-09-2026,52170829,Permits/Consents,Scope Change,Infrastructure Director,PM - Murphy,27-08-2024
PRJ00169,Substation Build – Swords – Reinforcement 169,Swords,Dublin,Substation Build,Reinforcement,Medium,Planning & Consents,Amber,11-12-2023,25-12-2026,67649343,Land Access/Wayleaves,Inflation/Materials,Onshore Delivery Lead,PM - Nolan,02-01-2025
 PRJ00170 ,Underground Cable – Mullingar – New Build 170,Mullingar,Midlands,Underground Cable,New Build,High,Construction,Green,06-04-2026,22-10-2028,83650864,Procurement/Long Lead,Contractor Claims,Infrastructure Director,PM - Walsh,25-02-2027
PRJ-00171,Substation Build – Blanchardstown – Reinforcement 171,Blanchardstown,Dublin,Substation Build,Reinforcement,Medium,Procurement,Green,05-06-2023,24-07-2025,50462271,Permits/Consents,Risk Realised,Infrastructure Director,PM - Nolan,04-03-2024
PRJ 00172,Overhead Line – Bray – Reinforcement 172,Bray,East,Overhead Line,Reinforcement,Medium,Construction,Green,22-05-2024,09-10-2026,49878345,Contractor Capacity,Contractor Claims,Programme Sponsor B,PM - O'Rourke,22-03-2025
PRJ_00173,Underground Cable – Cork – Upgrade 173,Cork,South,Underground Cable,Upgrade,High,Construction,Amber,01-02-2025,13-10-2028,39621784,Stakeholder/Community,Scope Change,Onshore Delivery Lead,PM - Murphy,19-05-2026
PRJ00174,Grid Automation – Letterkenny – Upgrade 174,Letterkenny,Northwest,Grid Automation,Upgrade,High,Design,Amber,01-09-2023,17-02-2026,18610708,Permits/Consents,Scope Change,Programme Sponsor B,PM - Fitzgerald,12-07-2024
prj00175,Substation Upgrade – Sligo – New Build 175,Sligo,Northwest,Substation Upgrade,New Build,Medium,Construction,Green,26-12-2025,04-01-2030,28779899,Design Rework,Design Rework,Onshore Delivery Lead,PM - O'Rourke,24-05-2027
PRJ 00176,Substation Upgrade – Swords – New Build 176,Swords,Dublin,Substation Upgrade,New Build,Medium,Design,Red,05-03-2023,21-08-2025,30161911,Land Access/Wayleaves,Contractor Claims,Onshore Delivery Lead,PM - Ryan,14-01-2024
PRJ 00177,Substation Upgrade – Castlebar – New Build 177,Castlebar,West,Substation Upgrade,New Build,Low,Construction,Amber,28-10-2023,10-01-2027,30333023,Land Access/Wayleaves,Productivity Delay,Programme Sponsor B,PM - Ryan,10-12-2024
PRJ00178 ,Substation Build – Tallaght – New Build 178,Tallaght,Dublin,Substation Build,New Build,Medium,Procurement,Red,20-10-2023,08-03-2026,72595334,Contractor Capacity,Scope Change,Interconnector Sponsor,PM - Ryan,19-08-2024
 PRJ00179 ,Interconnector Onshore Works – Galway – New Build 179,Galway,West,Interconnector Onshore Works,New Build,Medium,Planning & Consents,Amber,01-02-2025,21-07-2027,65396066,Permits/Consents,Productivity Delay,Onshore Delivery Lead,PM - Keane,13-12-2025
PRJ00180,Interconnector Onshore Works – Dundalk – New Build 180,Dundalk,East,Interconnector Onshore Works,New Build,Medium,Design,Red,30-10-2025,14-10-2028,55155522,Land Access/Wayleaves,Inflation/Materials,Onshore Delivery Lead,PM - Fitzgerald,12-11-2026
PRJ00181,Underground Cable – Tralee – New Build 181,Tralee,South,Underground Cable,New Build,Medium,Planning & Consents,Green,01-12-2024,20-01-2027,74323248,Stakeholder/Community,Scope Change,Programme Sponsor A,PM - Byrne,31-08-2025
prj00182,Substation Build – Tralee – Upgrade 182,Tralee,South,Substation Build,Upgrade,Medium,Construction,Red,19-08-2023,05-01-2026,68456527,Procurement/Long Lead,Inflation/Materials,Onshore Delivery Lead,PM - O'Rourke,18-06-2024
PRJ00183,Substation Build – Castlebar – Upgrade 183,Castlebar,West,Substation Build,Upgrade,Low,Procurement,Amber,30-03-2023,21-08-2024,47298668,Outage Window,Productivity Delay,Onshore Delivery Lead,PM - O'Rourke,24-09-2023
Prj00184,Interconnector Onshore Works – Donegal Town – Upgrade 184,Donegal Town,Northwest,Interconnector Onshore Works,Upgrade,High,Procurement,Green,15-05-2026,29-05-2029,53154282,Land Access/Wayleaves,Contractor Claims,Infrastructure Director,PM - Kelly,07-06-2027
 PRJ00185 ,Substation Build – Drogheda – Upgrade 185,Drogheda,East,Substation Build,Upgrade,Low,Construction,Green,17-02-2026,06-07-2028,54310846,Land Access/Wayleaves,Inflation/Materials,Onshore Delivery Lead,PM - Ryan,18-12-2026
PRJ 00186,Substation Build – Limerick – Upgrade 186,Limerick,South,Substation Build,Upgrade,Medium,Design,Green,15-02-2026,01-11-2028,59664874,Procurement/Long Lead,Contractor Claims,Programme Sponsor A,PM - Nolan,27-01-2027
PRJ 00187,Grid Automation – Tralee – Reinforcement 187,Tralee,South,Grid Automation,Reinforcement,Medium,Commissioning,Green,24-04-2024,11-10-2026,14697679,Stakeholder/Community,Inflation/Materials,Programme Sponsor A,PM - Hayes,05-03-2025
prj00188,Substation Upgrade – Swords – New Build 188,Swords,Dublin,Substation Upgrade,New Build,Medium,Construction,Green,20-04-2026,31-10-2029,25875814,Design Rework,Contractor Claims,Interconnector Sponsor,PM - Walsh,15-07-2027
PRJ-00189,Overhead Line – Waterford – Upgrade 189,Waterford,South,Overhead Line,Upgrade,Medium,Construction,Green,23-10-2024,09-08-2027,27983667,Land Access/Wayleaves,Design Rework,Onshore Delivery Lead,PM - O'Rourke,14-10-2025
PRJ-00190,Overhead Line – Dundalk – Reinforcement 190,Dundalk,East,Overhead Line,Reinforcement,Medium,Planning & Consents,Green,10-03-2026,22-02-2029,44710411,Permits/Consents,Productivity Delay,Programme Sponsor B,PM - Byrne,23-03-2027
PRJ-00191,Reactive Compensation – Tallaght – New Build 191,Tallaght,Dublin,Reactive Compensation,New Build,Medium,Design,Green,13-07-2023,30-10-2025,27507314,Land Access/Wayleaves,Contractor Claims,Programme Sponsor A,PM - O'Rourke,01-05-2024
PRJ 00192,Overhead Line – Longford – Upgrade 192,Longford,Midlands,Overhead Line,Upgrade,High,Design,Green,28-12-2023,10-06-2027,63441483,Procurement/Long Lead,Scope Change,Interconnector Sponsor,PM - Ryan,13-03-2025
PRJ_00193,Grid Automation – Athlone – Upgrade 193,Athlone,Midlands,Grid Automation,Upgrade,Medium,Construction,Green,12-10-2023,29-04-2026,11220857,Permits/Consents,Scope Change,Interconnector Sponsor,PM - Ryan,01-09-2024
PRJ00194,Overhead Line – Cork – New Build 194,Cork,South,Overhead Line,New Build,Low,Planning & Consents,Red,22-11-2024,11-01-2027,41857931,Permits/Consents,Design Rework,Onshore Delivery Lead,PM - Murphy,22-08-2025
PRJ00195,Substation Upgrade – Waterford – Upgrade 195,Waterford,South,Substation Upgrade,Upgrade,Low,Planning & Consents,Amber,27-04-2024,14-10-2026,14422698,Design Rework,Inflation/Materials,Onshore Delivery Lead,PM - Byrne,08-03-2025
PRJ-00196,Substation Upgrade – Tullamore – Reinforcement 196,Tullamore,Midlands,Substation Upgrade,Reinforcement,Low,Construction,Amber,26-09-2024,15-11-2026,28681558,Land Access/Wayleaves,Productivity Delay,Programme Sponsor B,PM - Murphy,26-06-2025
Prj00197,Reactive Compensation – Ballina – Upgrade 197,Ballina,West,Reactive Compensation,Upgrade,Medium,Design,Red,01-05-2025,15-02-2028,18319522,Outage Window,Scope Change,Infrastructure Director,PM - Nolan,22-04-2026
PRJ00198,Substation Upgrade – Tallaght – Upgrade 198,Tallaght,Dublin,Substation Upgrade,Upgrade,Low,Design,Green,23-04-2024,13-05-2026,18615271,Procurement/Long Lead,Scope Change,Programme Sponsor B,PM - O'Rourke,10-01-2025
PRJ00199 ,Underground Cable – Drogheda – Upgrade 199,Drogheda,East,Underground Cable,Upgrade,High,Planning & Consents,Red,28-08-2024,16-03-2027,54792591,Permits/Consents,Risk Realised,Programme Sponsor B,PM - Kelly,19-07-2025
PRJ 00200,Underground Cable – Bray – Upgrade 200,Bray,East,Underground Cable,Upgrade,Medium,Planning & Consents,Amber,05-09-2025,24-12-2027,50913417,Design Rework,Productivity Delay,Programme Sponsor B,PM - Byrne,25-06-2026
PRJ00201,Interconnector Onshore Works – Clonmel – New Build 201,Clonmel,South,Interconnector Onshore Works,New Build,Medium,Procurement,Green,25-11-2025,13-05-2028,90812116,Permits/Consents,Scope Change,Infrastructure Director,PM - Ryan,06-10-2026
prj00202,Substation Build – Waterford – New Build 202,Waterford,South,Substation Build,New Build,Low,Procurement,Amber,27-01-2025,11-05-2028,57814792,Procurement/Long Lead,Risk Realised,Programme Sponsor A,PM - Kelly,23-03-2026
PRJ 00203,Substation Upgrade – Blanchardstown – Reinforcement 203,Blanchardstown,Dublin,Substation Upgrade,Reinforcement,Medium,Commissioning,Green,21-07-2025,06-04-2028,34244084,Procurement/Long Lead,Risk Realised,Onshore Delivery Lead,PM - Murphy,02-07-2026
 PRJ00204 ,Reactive Compensation – Clonmel – Upgrade 204,Clonmel,South,Reactive Compensation,Upgrade,Medium,Construction,Green,06-01-2026,25-02-2028,22266260,Permits/Consents,Contractor Claims,Infrastructure Director,PM - Kelly,06-10-2026
prj00205,Substation Upgrade – Clonmel – New Build 205,Clonmel,South,Substation Upgrade,New Build,Medium,Design,Green,09-12-2024,28-01-2027,32172345,Outage Window,Inflation/Materials,Programme Sponsor B,PM - Walsh,08-09-2025
PRJ00206,Substation Build – Clonmel – New Build 206,Clonmel,South,Substation Build,New Build,Low,Construction,Red,11-01-2023,25-04-2026,76541374,Land Access/Wayleaves,Scope Change,Onshore Delivery Lead,PM - Fitzgerald,06-03-2024
prj00207,Interconnector Onshore Works – Swords – New Build 207,Swords,Dublin,Interconnector Onshore Works,New Build,Medium,Concept,Green,25-06-2024,11-01-2027,66159903,Contractor Capacity,Inflation/Materials,Programme Sponsor A,PM - Keane,16-05-2025
prj00208,Reactive Compensation – Blanchardstown – Upgrade 208,Blanchardstown,Dublin,Reactive Compensation,Upgrade,High,Construction,Amber,15-04-2026,30-12-2028,24340025,Land Access/Wayleaves,Productivity Delay,Onshore Delivery Lead,PM - Byrne,27-03-2027
PRJ_00209,Substation Upgrade – Ballina – Upgrade 209,Ballina,West,Substation Upgrade,Upgrade,Low,Design,Green,28-11-2024,16-07-2027,24409883,Contractor Capacity,Scope Change,Onshore Delivery Lead,PM - Walsh,30-10-2025
PRJ00210,Substation Build – Castlebar – New Build 210,Castlebar,West,Substation Build,New Build,Low,Construction,Green,06-02-2026,27-03-2028,71221229,Stakeholder/Community,Design Rework,Programme Sponsor B,PM - O'Rourke,06-11-2026
PRJ00211,Grid Automation – Blanchardstown – New Build 211,Blanchardstown,Dublin,Grid Automation,New Build,High,Commissioning,Green,25-06-2024,13-10-2026,15927184,Permits/Consents,FX/Imports,Programme Sponsor B,PM - Nolan,14-04-2025
PRJ00212,Underground Cable – Longford – Reinforcement 212,Longford,Midlands,Underground Cable,Reinforcement,Medium,Commissioning,Green,05-07-2025,20-04-2028,47532091,Procurement/Long Lead,Design Rework,Infrastructure Director,PM - Keane,26-06-2026
prj00213,Interconnector Onshore Works – Drogheda – New Build 213,Drogheda,East,Interconnector Onshore Works,New Build,Low,Construction,Amber,05-08-2024,18-12-2027,48231260,Procurement/Long Lead,Scope Change,Programme Sponsor A,PM - Nolan,09-10-2025
Prj00214,Overhead Line – Navan – Reinforcement 214,Navan,East,Overhead Line,Reinforcement,Low,Planning & Consents,Green,23-07-2023,08-05-2026,46299036,Permits/Consents,Scope Change,Infrastructure Director,PM - Ryan,13-07-2024
PRJ00215,Substation Upgrade – Dublin – New Build 215,Dublin,Dublin,Substation Upgrade,New Build,High,Planning & Consents,Amber,15-01-2024,30-11-2026,35383263,Contractor Capacity,Scope Change,Infrastructure Director,PM - Byrne,16-01-2025
PRJ-00216,Substation Build – Drogheda – Upgrade 216,Drogheda,East,Substation Build,Upgrade,Medium,Design,Green,28-10-2023,11-12-2026,57966335,Weather/Events,Productivity Delay,Infrastructure Director,PM - Byrne,29-11-2024
Prj00217,Overhead Line – Drogheda – Upgrade 217,Drogheda,East,Overhead Line,Upgrade,Medium,Planning & Consents,Green,02-08-2023,22-06-2025,46312903,Stakeholder/Community,Scope Change,Programme Sponsor B,PM - Murphy,30-03-2024
PRJ00218,Reactive Compensation – Ballina – Upgrade 218,Ballina,West,Reactive Compensation,Upgrade,Low,Design,Green,01-07-2023,16-05-2026,16945718,Procurement/Long Lead,Inflation/Materials,Programme Sponsor B,PM - Walsh,02-07-2024
prj00219,Substation Build – Cork – Upgrade 219,Cork,South,Substation Build,Upgrade,High,Construction,Red,17-04-2026,04-08-2028,64755502,Permits/Consents,Scope Change,Onshore Delivery Lead,PM - Byrne,04-02-2027
PRJ 00220,Overhead Line – Tallaght – New Build 220,Tallaght,Dublin,Overhead Line,New Build,Medium,Design,Green,19-03-2025,05-10-2027,61666095,Permits/Consents,Productivity Delay,Infrastructure Director,PM - Nolan,07-02-2026
prj00221,Overhead Line – Navan – Reinforcement 221,Navan,East,Overhead Line,Reinforcement,Medium,Design,Green,28-02-2023,15-09-2025,37609675,Stakeholder/Community,Productivity Delay,Infrastructure Director,PM - Byrne,19-01-2024
PRJ00222,Reactive Compensation – Tullamore – Upgrade 222,Tullamore,Midlands,Reactive Compensation,Upgrade,High,Construction,Green,18-02-2023,04-11-2025,18958008,Design Rework,Contractor Claims,Infrastructure Director,PM - Nolan,30-01-2024
 PRJ00223 ,Substation Upgrade – Waterford – Reinforcement 223,Waterford,South,Substation Upgrade,Reinforcement,High,Construction,Green,05-03-2023,15-09-2026,25118032,Design Rework,Scope Change,Interconnector Sponsor,PM - Walsh,29-05-2024
Prj00224,Grid Automation – Portlaoise – Reinforcement 224,Portlaoise,Midlands,Grid Automation,Reinforcement,Low,Design,Green,02-10-2023,23-02-2025,10641211,Procurement/Long Lead,Design Rework,Onshore Delivery Lead,PM - Fitzgerald,28-03-2024
PRJ 00225,Substation Upgrade – Navan – Upgrade 225,Navan,East,Substation Upgrade,Upgrade,Medium,Procurement,Green,17-05-2023,03-09-2025,27733891,Permits/Consents,Risk Realised,Infrastructure Director,PM - Hayes,05-03-2024
prj00226,Grid Automation – Dundalk – Reinforcement 226,Dundalk,East,Grid Automation,Reinforcement,Medium,Construction,Green,20-10-2025,08-03-2028,11413218,Contractor Capacity,Risk Realised,Interconnector Sponsor,PM - Ryan,20-08-2026
prj00227,Grid Automation – Cork – Reinforcement 227,Cork,South,Grid Automation,Reinforcement,High,Construction,Red,13-05-2024,23-01-2028,16163220,Procurement/Long Lead,FX/Imports,Interconnector Sponsor,PM - Walsh,28-08-2025
