RecordType,RecordID,ProjectID,Category,Title,Probability,ImpactEUR,ExposureEUR,SeverityBand,Status,OwnerRole,CreatedDate,LastUpdatedDate,TargetCloseDate,ClosedDate,RootCause,Notes
Issue,ISS000292,PRJ00045,Resourcing,Resourcing issue – Contractor Claims,,,,Major,In Progress,Stakeholder Manager,2024-06-14,2024-07-25,2024-07-18,,Contractor Claims,
Issue,ISS000293,PRJ00045,Design,Design issue – Scope Change,,,,Major,Closed,Programme Controls,2023-09-01,2023-10-26,2024-01-01,2023-12-07,Scope Change,
Issue,ISS000294,PRJ00045,Design,Design issue – Risk Realised,,,,Major,In Progress,Commercial Manager,2025-01-03,2025-01-16,2025-03-12,,Risk Realised,
Issue,ISS000295,PRJ00045,Design,Design issue – Contractor Claims,,,,Minor,Closed,Construction Manager,2023-04-29,2023-07-25,2023-07-02,2023-08-06,Contractor Claims,
Issue,ISS000296,PRJ00045,Construction,Construction issue – Design Rework,,,,Minor,Closed,Consents Lead,2024-03-23,2024-05-12,2024-07-05,2024-08-10,Design Rework,
Issue,ISS000297,PRJ00045,Construction,Construction issue – Land Access/Wayleaves,,,,Minor,In Progress,Programme Controls,2024-08-14,2024-09-09,2024-12-05,,Land Access/Wayleaves,
Issue,ISS000298,PRJ00045,Governance,Governance issue – Land Access/Wayleaves,,,,Minor,Open,Commercial Manager,2024-09-02,2024-09-20,2024-11-15,,Land Access/Wayleaves,
Issue,ISS000299,PRJ00045,Construction,Construction issue – Procurement/Long Lead,,,,Major,Closed,Commercial Manager,2024-01-24,2024-02-13,2024-05-28,2024-07-14,Procurement/Long Lead,
Issue,ISS000300,PRJ00045,Safety,Safety issue – Contractor Capacity,,,,Minor,Blocked,Construction Manager,2025-05-27,2025-06-13,2025-07-01,,Contractor Capacity,
Risk,RSK000455,PRJ00046,Schedule,Schedule risk – Procurement/Long Lead,0.51,4701864,2385167,Medium,Open,Programme Controls,2024-01-06,2024-01-25,,,,
Risk,RSK000456,PRJ00046,Environmental,Environmental risk – Procurement/Long Lead,0.28,7305500,2068964,Medium,Mitigating,Programme Controls,2023-10-16,2024-04-01,,,,
Risk,RSK000457,PRJ00046,Environmental,Environmental risk – Procurement/Long Lead,0.22,2247644,489272,Low,Open,Programme Controls,2024-02-05,2024-05-17,,,,
Risk,RSK000458,PRJ00046,Cost,Cost risk – Procurement/Long Lead,0.21,4834408,1011304,Low,Open,Stakeholder Manager,2025-11-02,2026-01-18,,,,
Risk,RSK000459,PRJ00046,Schedule,Schedule risk – Procurement/Long Lead,0.18,8000018,1402503,Low,Open,PMO Lead,2025-05-05,2025-05-14,,,,
Risk,RSK000460,PRJ00046,Technical,Technical risk – Procurement/Long Lead,0.38,6285334,2390106,Medium,Closed,Construction Manager,2023-10-18,2023-12-14,,2024-01-20,,
Risk,RSK000461,PRJ00046,Stakeholder,Stakeholder risk – Procurement/Long Lead,0.47,9644206,4495317,Medium,Open,Commercial Manager,2025-02-27,2025-04-21,,,,
Risk,RSK000462,PRJ00046,Stakeholder,Stakeholder risk – Procurement/Long Lead,0.46,12867923,5888182,Medium,Open,Commercial Manager,2023-10-23,2024-01-07,,,,
Risk,RSK000463,PRJ00046,Regulatory,Regulatory risk – Procurement/Long Lead,0.25,1344104,334310,Low,Open,Consents Lead,2025-08-17,2025-12-18,,,,
Risk,RSK000464,PRJ00046,Cost,Cost risk – Procurement/Long Lead,0.43,3116457,1338492,Low,Open,Construction Manager,2024-08-24,2024-11-01,,,,
Issue,ISS000301,PRJ00046,Procurement,Procurement issue – Stakeholder/Community,,,,Minor,In Progress,HSE Lead,2025-05-31,2025-07-21,2025-07-02,,Stakeholder/Community,
Issue,ISS000302,PRJ00046,Construction,Construction issue – Design Rework,,,,Major,Open,Consents Lead,2025-11-21,2025-12-16,2026-01-03,,Design Rework,
Issue,ISS000303,PRJ00046,Stakeholder,Stakeholder issue – Design Rework,,,,Major,Closed,PMO Lead,2024-02-01,2024-04-09,2024-02-28,2024-02-17,Design Rework,
Issue,ISS000304,PRJ00046,Construction,Construction issue – Design Rework,,,,Major,Closed,Commercial Manager,2023-10-14,2023-11-26,2024-02-17,2024-04-09,Design Rework,
Issue,ISS000305,PRJ00046,Procurement,Procurement issue – Stakeholder/Community,,,,Major,Closed,Commercial Manager,2023-06-29,2023-08-21,2023-10-12,2023-11-12,Stakeholder/Community,
Issue,ISS000306,PRJ00046,Stakeholder,Stakeholder issue – Procurement/Long Lead,,,,Minor,Open,Engineering Manager,2023-09-27,2023-12-03,2023-12-10,,Procurement/Long Lead,
Issue,ISS000307,PRJ00046,Stakeholder,Stakeholder issue – Procurement/Long Lead,,,,Major,Closed,HSE Lead,2025-03-31,2025-05-23,2025-08-11,2025-11-25,Procurement/Long Lead,
Issue,ISS000308,PRJ00046,Resourcing,Resourcing issue – Productivity Delay,,,,Critical,Closed,HSE Lead,2025-10-25,2026-01-12,2026-03-05,2026-01-18,Productivity Delay,
Issue,ISS000309,PRJ00046,Procurement,Procurement issue – Permits/Consents,,,,Major,Closed,Consents Lead,2025-06-04,2025-06-06,2025-07-28,2025-07-16,Permits/Consents,
Risk,RSK000465,PRJ00047,Schedule,Schedule risk – Permits/Consents,0.63,3294918,2062499,Medium,Mitigating,Construction Manager,2025-04-15,2025-04-18,,,,
Risk,RSK000466,PRJ00047,Supply Chain,Supply Chain risk – Permits/Consents,0.55,5226570,2859275,Medium,Open,Programme Controls,2024-05-02,2024-07-03,,,,
Risk,RSK000467,PRJ00047,Stakeholder,Stakeholder risk – Permits/Consents,0.4,11209296,4443587,Medium,Closed,Consents Lead,2023-12-29,2024-03-19,,2024-04-02,,
Risk,RSK000468,PRJ00047,Regulatory,Regulatory risk – Permits/Consents,0.57,3374803,1934714,Low,Closed,Programme Controls,2025-05-25,2025-07-04,,2025-07-08,,
Risk,RSK000469,PRJ00047,Regulatory,Regulatory risk – Permits/Consents,0.51,3627733,1863896,Low,Open,Consents Lead,2023-04-13,2023-06-11,,,,
Risk,RSK000470,PRJ00047,Cost,Cost risk – Permits/Consents,0.28,6954524,1974592,Low,Mitigating,Commercial Manager,2023-12-01,2024-04-30,,,,
Risk,RSK000471,PRJ00047,Stakeholder,Stakeholder risk – Permits/Consents,0.44,4420076,1960145,Low,Closed,Stakeholder Manager,2024-04-30,2024-06-02,,2024-07-16,,
Risk,RSK000472,PRJ00047,Supply Chain,Supply Chain risk – Permits/Consents,0.21,6677144,1406344,Low,Open,HSE Lead,2024-12-03,2025-03-22,,,,
Risk,RSK000473,PRJ00047,Safety,Safety risk – Permits/Consents,0.69,7805350,5372543,Medium,Open,Stakeholder Manager,2024-04-19,2024-07-23,,,,
Issue,ISS000310,PRJ00047,Construction,Construction issue – Scope Change,,,,Minor,Open,Construction Manager,2024-05-23,2024-07-02,2024-09-13,,Scope Change,
Issue,ISS000311,PRJ00047,Data/Reporting,Data/Reporting issue – Land Access/Wayleaves,,,,Major,Closed,Commercial Manager,2025-03-11,2025-04-19,2025-04-24,2025-05-18,Land Access/Wayleaves,
Issue,ISS000312,PRJ00047,Governance,Governance issue – Procurement/Long Lead,,,,Major,Open,Programme Controls,2025-12-18,2026-01-18,2026-03-28,,Procurement/Long Lead,
Issue,ISS000313,PRJ00047,Stakeholder,Stakeholder issue – Scope Change,,,,Major,Open,Commercial Manager,2024-03-07,2024-04-26,2024-08-29,,Scope Change,
Issue,ISS000314,PRJ00047,Design,Design issue – Permits/Consents,,,,Minor,Closed,HSE Lead,2024-08-11,2024-09-13,2025-01-17,2025-01-24,Permits/Consents,
Issue,ISS000315,PRJ00047,Construction,Construction issue – Permits/Consents,,,,Minor,In Progress,Commercial Manager,2023-04-13,2023-06-28,2023-10-06,,Permits/Consents,
Issue,ISS000316,PRJ00047,Data/Reporting,Data/Reporting issue – Procurement/Long Lead,,,,Major,In Progress,Engineering Manager,2025-06-20,2025-06-26,2025-08-01,,Procurement/Long Lead,
Issue,ISS000317,PRJ00047,Construction,Construction issue – Procurement/Long Lead,,,,Major,In Progress,HSE Lead,2024-08-24,2024-08-27,2024-12-18,,Procurement/Long Lead,
Issue,ISS000318,PRJ00047,Construction,Construction issue – Contractor Capacity,,,,Minor,Closed,Programme Controls,2025-10-30,2025-11-16,2025-12-09,2025-12-13,Contractor Capacity,
Risk,RSK000474,PRJ00048,Environmental,Environmental risk – Contractor Capacity,0.55,1362395,749508,Low,Open,HSE Lead,2023-07-23,2023-08-01,,,,
Risk,RSK000475,PRJ00048,Cost,Cost risk – Contractor Capacity,0.45,6885369,3077846,Medium,Open,Commercial Manager,2026-01-09,2026-01-18,,,,
Risk,RSK000476,PRJ00048,Supply Chain,Supply Chain risk – Contractor Capacity,0.51,10398403,5291063,Medium,Open,Construction Manager,2025-06-27,2025-06-27,,,,
Risk,RSK000477,PRJ00048,Schedule,Schedule risk – Contractor Capacity,0.4,4536299,1802510,Low,Closed,Construction Manager,2024-08-11,2025-01-09,,2025-01-13,,
Risk,RSK000478,PRJ00048,Stakeholder,Stakeholder risk – Contractor Capacity,0.74,2041382,1511640,Low,Open,Consents Lead,2025-10-18,2026-01-04,,,,
Risk,RSK000479,PRJ00048,Environmental,Environmental risk – Contractor Capacity,0.28,3436324,977441,Low,Mitigating,PMO Lead,2023-02-17,2023-08-02,,,,
Risk,RSK000480,PRJ00048,Schedule,Schedule risk – Contractor Capacity,0.77,8303002,6360177,Medium,Mitigating,HSE Lead,2025-07-03,2025-07-30,,,,
Issue,ISS000319,PRJ00048,Design,Design issue – Permits/Consents,,,,Major,Closed,Consents Lead,2025-01-30,2025-01-30,2025-05-28,2025-09-13,Permits/Consents,
Issue,ISS000320,PRJ00048,Construction,Construction issue – Inflation/Materials,,,,Critical,Closed,Engineering Manager,2025-05-01,2025-05-19,2025-07-23,2025-07-24,Inflation/Materials,
Issue,ISS000321,PRJ00048,Design,Design issue – Permits/Consents,,,,Major,In Progress,PMO Lead,2025-10-10,2025-12-29,2026-03-14,,Permits/Consents,
Issue,ISS000322,PRJ00048,Resourcing,Resourcing issue – Contractor Claims,,,,Critical,Closed,Construction Manager,2025-02-02,2025-02-13,2025-08-26,2025-06-08,Contractor Claims,
Issue,ISS000323,PRJ00048,Design,Design issue – Contractor Capacity,,,,Minor,Closed,Programme Controls,2024-08-19,2024-10-09,2024-12-18,2025-02-27,Contractor Capacity,
Issue,ISS000324,PRJ00048,Procurement,Procurement issue – Contractor Capacity,,,,Major,Open,Commercial Manager,2024-01-08,2024-02-07,2024-03-18,,Contractor Capacity,
Issue,ISS000325,PRJ00048,Governance,Governance issue – Design Rework,,,,Minor,Open,Stakeholder Manager,2025-12-20,2026-01-18,2026-03-01,,Design Rework,
Risk,RSK000481,PRJ00049,Schedule,Schedule risk – Permits/Consents,0.16,6815210,1060148,Low,Mitigating,HSE Lead,2024-01-21,2024-01-30,,,,
Risk,RSK000482,PRJ00049,Schedule,Schedule risk – Permits/Consents,0.53,5388344,2835284,Medium,Open,HSE Lead,2024-06-01,2024-06-24,,,,
Risk,RSK000483,PRJ00049,Schedule,Schedule risk – Permits/Consents,0.54,12977989,7012532,Medium,Open,Engineering Manager,2023-05-31,2023-06-06,,,,
Risk,RSK000484,PRJ00049,Technical,Technical risk – Permits/Consents,0.28,6226247,1774475,Low,Open,Consents Lead,2023-10-14,2023-11-17,,,,
Risk,RSK000485,PRJ00049,Stakeholder,Stakeholder risk – Permits/Consents,0.33,7329171,2399075,Medium,Open,Consents Lead,2023-11-01,2023-12-30,,,,
Risk,RSK000486,PRJ00049,Schedule,Schedule risk – Permits/Consents,0.45,11677614,5290858,Medium,Open,PMO Lead,2023-09-10,2023-11-02,,,,
Risk,RSK000487,PRJ00049,Technical,Technical risk – Permits/Consents,0.3,10139527,3040356,Medium,Open,PMO Lead,2023-06-23,2023-11-27,,,,
Risk,RSK000488,PRJ00049,Schedule,Schedule risk – Permits/Consents,0.23,5472952,1246170,Low,Open,HSE Lead,2025-03-21,2025-03-22,,,,
Issue,ISS000326,PRJ00049,Construction,Construction issue – Procurement/Long Lead,,,,Minor,Closed,Engineering Manager,2023-05-26,2023-07-24,2023-06-16,2023-06-21,Procurement/Long Lead,
Issue,ISS000327,PRJ00049,Safety,Safety issue – Scope Change,,,,Major,Open,Commercial Manager,2025-04-27,2025-05-30,2025-07-21,,Scope Change,
Issue,ISS000328,PRJ00049,Construction,Construction issue – Inflation/Materials,,,,Minor,Closed,Programme Controls,2024-07-09,2024-07-28,2024-09-24,2024-10-15,Inflation/Materials,
Issue,ISS000329,PRJ00049,Data/Reporting,Data/Reporting issue – Outage Window,,,,Major,Closed,HSE Lead,2025-06-05,2025-07-10,2025-08-29,2025-09-11,Outage Window,
Risk,RSK000489,PRJ00050,Regulatory,Regulatory risk – Land Access/Wayleaves,0.36,4837143,1750322,Low,Open,Engineering Manager,2024-07-23,2024-12-16,,,,
Risk,RSK000490,PRJ00050,Technical,Technical risk – Land Access/Wayleaves,0.42,4564266,1908922,Low,Closed,Stakeholder Manager,2023-07-10,2023-08-23,,2023-08-25,,
Risk,RSK000491,PRJ00050,Cost,Cost risk – Land Access/Wayleaves,0.2,3813718,756782,Low,Open,Engineering Manager,2025-04-12,2025-06-08,,,,
Risk,RSK000492,PRJ00050,Environmental,Environmental risk – Land Access/Wayleaves,0.37,4471961,1646619,Low,Mitigating,Construction Manager,2024-11-20,2025-03-07,,,,
Risk,RSK000493,PRJ00050,Environmental,Environmental risk – Land Access/Wayleaves,0.65,11740491,7648510,Medium,Open,Construction Manager,2025-10-18,2025-12-02,,,,
Risk,RSK000494,PRJ00050,Regulatory,Regulatory risk – Land Access/Wayleaves,0.12,8902429,1041046,Low,Mitigating,Consents Lead,2025-06-14,2025-11-13,,,,
Issue,ISS000330,PRJ00050,Procurement,Procurement issue – Permits/Consents,,,,Major,Closed,PMO Lead,2024-12-30,2025-01-28,2025-02-07,2025-02-13,Permits/Consents,
Issue,ISS000331,PRJ00050,Data/Reporting,Data/Reporting issue – Design Rework,,,,Minor,Closed,Construction Manager,2025-09-02,2025-10-20,2026-01-07,2025-12-13,Design Rework,
Issue,ISS000332,PRJ00050,Construction,Construction issue – Productivity Delay,,,,Minor,Closed,Engineering Manager,2025-12-12,2026-01-18,2026-04-07,2026-01-18,Productivity Delay,
Issue,ISS000333,PRJ00050,Stakeholder,Stakeholder issue – Design Rework,,,,Major,Closed,Stakeholder Manager,2023-03-02,2023-03-14,2023-04-12,2023-04-08,Design Rework,
Issue,ISS000334,PRJ00050,Design,Design issue – Scope Change,,,,Minor,In Progress,Stakeholder Manager,2023-03-12,2023-04-18,2023-05-01,,Scope Change,
Issue,ISS000335,PRJ00050,Resourcing,Resourcing issue – Permits/Consents,,,,Minor,Closed,PMO Lead,2023-07-27,2023-09-18,2023-12-06,2023-12-02,Permits/Consents,
Issue,ISS000336,PRJ00050,Construction,Construction issue – Permits/Consents,,,,Critical,Closed,Commercial Manager,2024-02-28,2024-03-05,2024-07-16,2024-07-30,Permits/Consents,
Issue,ISS000337,PRJ00050,Procurement,Procurement issue – Contractor Capacity,,,,Minor,In Progress,Consents Lead,2023-08-29,2023-09-14,2024-02-08,,Contractor Capacity,
Issue,ISS000338,PRJ00050,Stakeholder,Stakeholder issue – Scope Change,,,,Minor,In Progress,Construction Manager,2025-03-03,2025-05-29,2025-04-22,,Scope Change,
Risk,RSK000495,PRJ00051,Safety,Safety risk – Land Access/Wayleaves,0.54,2499163,1357849,Low,Mitigating,Consents Lead,2024-09-08,2025-02-28,,,,
Risk,RSK000496,PRJ00051,Cost,Cost risk – Land Access/Wayleaves,0.24,5052906,1198726,Low,Mitigating,Consents Lead,2024-05-05,2024-10-27,,,,
Risk,RSK000497,PRJ00051,Technical,Technical risk – Land Access/Wayleaves,0.35,7133372,2492982,Medium,Open,Commercial Manager,2023-10-10,2023-10-10,,,,
Risk,RSK000498,PRJ00051,Environmental,Environmental risk – Land Access/Wayleaves,0.51,8790821,4492649,Medium,Open,Commercial Manager,2024-05-11,2024-09-29,,,,
Risk,RSK000499,PRJ00051,Cost,Cost risk – Land Access/Wayleaves,0.15,2771103,425229,Low,Mitigating,Consents Lead,2023-04-10,2023-05-02,,,,
Risk,RSK000500,PRJ00051,Schedule,Schedule risk – Land Access/Wayleaves,0.29,2877335,847445,Low,Open,HSE Lead,2023-03-19,2023-04-26,,,,
Risk,RSK000501,PRJ00051,Cost,Cost risk – Land Access/Wayleaves,0.35,10010407,3473943,Medium,Mitigating,Stakeholder Manager,2025-06-20,2025-10-20,,,,
Risk,RSK000502,PRJ00051,Regulatory,Regulatory risk – Land Access/Wayleaves,0.52,4283925,2219979,Medium,Open,Consents Lead,2025-12-09,2026-01-18,,,,
Risk,RSK000503,PRJ00051,Safety,Safety risk – Land Access/Wayleaves,0.21,11304309,2336202,Medium,Open,PMO Lead,2024-06-22,2024-08-31,,,,
Risk,RSK000504,PRJ00051,Environmental,Environmental risk – Land Access/Wayleaves,0.3,10988888,3343346,Medium,Closed,PMO Lead,2025-12-24,2026-01-18,,2026-01-18,,
Risk,RSK000505,PRJ00051,Schedule,Schedule risk – Land Access/Wayleaves,0.28,5001175,1387259,Low,Mitigating,Consents Lead,2023-02-08,2023-05-29,,,,
Risk,RSK000506,PRJ00051,Environmental,Environmental risk – Land Access/Wayleaves,0.41,4782382,1972045,Low,Open,Commercial Manager,2024-08-24,2024-10-06,,,,
Risk,RSK000507,PRJ00051,Safety,Safety risk – Land Access/Wayleaves,0.5,10509429,5227140,Medium,Open,Commercial Manager,2025-07-06,2025-10-24,,,,
Risk,RSK000508,PRJ00051,Safety,Safety risk – Land Access/Wayleaves,0.39,11984772,4681636,Medium,Open,Commercial Manager,2023-10-04,2024-01-07,,,,
Issue,ISS000339,PRJ00051,Data/Reporting,Data/Reporting issue – Design Rework,,,,Major,Closed,Engineering Manager,2025-06-22,2025-08-02,2025-07-29,2025-08-17,Design Rework,
Issue,ISS000340,PRJ00051,Procurement,Procurement issue – Design Rework,,,,Minor,Closed,Commercial Manager,2023-06-30,2023-08-11,2023-07-14,2023-07-16,Design Rework,
Issue,ISS000341,PRJ00051,Data/Reporting,Data/Reporting issue – Permits/Consents,,,,Minor,In Progress,Commercial Manager,2025-11-12,2026-01-12,2026-06-02,,Permits/Consents,
Issue,ISS000342,PRJ00051,Procurement,Procurement issue – Design Rework,,,,Major,In Progress,Programme Controls,2025-05-09,2025-07-13,2025-12-07,,Design Rework,
Issue,ISS000343,PRJ00051,Construction,Construction issue – Design Rework,,,,Minor,Open,Commercial Manager,2025-09-08,2025-10-15,2025-10-24,,Design Rework,
Issue,ISS000344,PRJ00051,Data/Reporting,Data/Reporting issue – FX/Imports,,,,Major,Closed,Engineering Manager,2024-04-06,2024-05-16,2024-07-13,2024-07-28,FX/Imports,
Risk,RSK000509,PRJ00052,Supply Chain,Supply Chain risk – Design Rework,0.2,4562673,935227,Low,Open,Engineering Manager,2024-12-13,2025-04-26,,,,
Risk,RSK000510,PRJ00052,Stakeholder,Stakeholder risk – Design Rework,0.1,14062040,1418129,Low,Open,PMO Lead,2025-10-11,2026-01-02,,,,
Risk,RSK000511,PRJ00052,Environmental,Environmental risk – Design Rework,0.12,7326394,885788,Low,Closed,Programme Controls,2024-08-05,2024-09-10,,2024-11-02,,
Risk,RSK000512,PRJ00052,Environmental,Environmental risk – Design Rework,0.5,1621175,815912,Low,Mitigating,Commercial Manager,2024-09-26,2025-01-06,,,,
Risk,RSK000513,PRJ00052,Stakeholder,Stakeholder risk – Design Rework,0.15,8196496,1213724,Low,Closed,Stakeholder Manager,2023-03-08,2023-03-24,,2023-05-02,,
Risk,RSK000514,PRJ00052,Stakeholder,Stakeholder risk – Design Rework,0.18,11642807,2078278,Medium,Closed,Construction Manager,2023-01-16,2023-02-21,,2023-02-22,,
Issue,ISS000345,PRJ00052,Safety,Safety issue – Scope Change,,,,Minor,Closed,Programme Controls,2024-09-16,2024-09-20,2024-11-23,2024-11-24,Scope Change,
Issue,ISS000346,PRJ00052,Safety,Safety issue – FX/Imports,,,,Minor,In Progress,Construction Manager,2023-11-01,2023-12-02,2024-05-28,,FX/Imports,
Issue,ISS000347,PRJ00052,Stakeholder,Stakeholder issue – Permits/Consents,,,,Major,Open,Engineering Manager,2025-04-30,2025-07-28,2025-10-15,,Permits/Consents,
Issue,ISS000348,PRJ00052,Procurement,Procurement issue – Contractor Claims,,,,Minor,In Progress,Programme Controls,2023-03-22,2023-04-25,2023-10-12,,Contractor Claims,
Issue,ISS000349,PRJ00052,Resourcing,Resourcing issue – Inflation/Materials,,,,Minor,In Progress,Stakeholder Manager,2024-07-09,2024-08-23,2024-08-26,,Inflation/Materials,
Issue,ISS000350,PRJ00052,Procurement,Procurement issue – Contractor Claims,,,,Major,Closed,Engineering Manager,2023-09-16,2023-10-13,2023-12-19,2023-11-19,Contractor Claims,
Issue,ISS000351,PRJ00052,Safety,Safety issue – Design Rework,,,,Minor,In Progress,Construction Manager,2024-01-20,2024-03-27,2024-03-12,,Design Rework,
Issue,ISS000352,PRJ00052,Procurement,Procurement issue – Permits/Consents,,,,Minor,Closed,Programme Controls,2024-10-02,2024-10-25,2025-02-20,2025-02-26,Permits/Consents,
Issue,ISS000353,PRJ00052,Governance,Governance issue – Scope Change,,,,Minor,Blocked,Engineering Manager,2025-11-07,2026-01-10,2026-02-01,,Scope Change,
Risk,RSK000515,PRJ00053,Technical,Technical risk – Permits/Consents,0.45,6903604,3086797,Medium,Mitigating,Consents Lead,2024-12-21,2025-02-10,,,,
Risk,RSK000516,PRJ00053,Technical,Technical risk – Permits/Consents,0.47,4114563,1943469,Low,Open,Construction Manager,2025-05-26,2025-11-19,,,,
Risk,RSK000517,PRJ00053,Supply Chain,Supply Chain risk – Permits/Consents,0.48,8016375,3872329,Medium,Mitigating,Commercial Manager,2024-07-02,2024-09-13,,,,
Risk,RSK000518,PRJ00053,Technical,Technical risk – Permits/Consents,0.53,17166407,9053060,High,Open,Stakeholder Manager,2023-07-09,2023-12-30,,,,
Risk,RSK000519,PRJ00053,Regulatory,Regulatory risk – Permits/Consents,0.08,3256687,247423,Low,Open,Consents Lead,2025-01-04,2025-06-06,,,,
Risk,RSK000520,PRJ00053,Technical,Technical risk – Permits/Consents,0.53,1452798,774148,Low,Mitigating,Construction Manager,2024-04-02,2024-09-28,,,,
Risk,RSK000521,PRJ00053,Regulatory,Regulatory risk – Permits/Consents,0.4,4668114,1875634,Low,Open,Construction Manager,2024-03-16,2024-08-08,,,,
Risk,RSK000522,PRJ00053,Stakeholder,Stakeholder risk – Permits/Consents,0.17,7186596,1186648,Low,Mitigating,Engineering Manager,2025-04-20,2025-07-05,,,,
Risk,RSK000523,PRJ00053,Regulatory,Regulatory risk – Permits/Consents,0.05,9331365,497576,Low,Mitigating,Stakeholder Manager,2023-05-19,2023-07-15,,,,
Risk,RSK000524,PRJ00053,Stakeholder,Stakeholder risk – Permits/Consents,0.29,2560840,744233,Low,Mitigating,Engineering Manager,2025-07-31,2025-09-10,,,,
Issue,ISS000354,PRJ00053,Construction,Construction issue – Outage Window,,,,Minor,Closed,Engineering Manager,2024-03-19,2024-06-08,2024-10-19,2024-10-16,Outage Window,
Issue,ISS000355,PRJ00053,Resourcing,Resourcing issue – Scope Change,,,,Major,Closed,Programme Controls,2025-02-22,2025-05-11,2025-06-05,2025-04-29,Scope Change,
Issue,ISS000356,PRJ00053,Procurement,Procurement issue – Scope Change,,,,Minor,Closed,Consents Lead,2024-12-11,2025-02-21,2025-02-10,2025-02-20,Scope Change,
Issue,ISS000357,PRJ00053,Construction,Construction issue – Design Rework,,,,Critical,In Progress,Stakeholder Manager,2023-03-08,2023-03-26,2023-06-22,,Design Rework,
Issue,ISS000358,PRJ00053,Construction,Construction issue – Risk Realised,,,,Minor,Open,HSE Lead,2025-08-08,2025-09-07,2025-08-14,,Risk Realised,
Issue,ISS000359,PRJ00053,Governance,Governance issue – Inflation/Materials,,,,Minor,In Progress,Stakeholder Manager,2025-02-12,2025-03-30,2025-05-11,,Inflation/Materials,
Issue,ISS000360,PRJ00053,Data/Reporting,Data/Reporting issue – Contractor Claims,,,,Minor,Closed,Construction Manager,2024-07-10,2024-08-26,2025-01-11,2024-12-03,Contractor Claims,
Issue,ISS000361,PRJ00053,Data/Reporting,Data/Reporting issue – Scope Change,,,,Major,Closed,Commercial Manager,2024-05-30,2024-07-06,2024-12-04,2025-01-17,Scope Change,
Risk,RSK000525,PRJ00054,Cost,Cost risk – Permits/Consents,0.34,2366371,807153,Low,Open,Stakeholder Manager,2024-04-13,2024-08-14,,,,
Risk,RSK000526,PRJ00054,Cost,Cost risk – Permits/Consents,0.48,3521078,1674626,Low,Open,Programme Controls,2023-06-01,2023-08-08,,,,
Risk,RSK000527,PRJ00054,Cost,Cost risk – Permits/Consents,0.07,5179301,366258,Low,Open,Engineering Manager,2025-03-30,2025-04-25,,,,
Risk,RSK000528,PRJ00054,Regulatory,Regulatory risk – Permits/Consents,0.27,8226836,2212522,Medium,Closed,Engineering Manager,2025-12-15,2026-01-18,,2026-01-18,,
Risk,RSK000529,PRJ00054,Schedule,Schedule risk – Permits/Consents,0.54,3381370,1817855,Low,Open,Commercial Manager,2025-03-27,2025-06-11,,,,
Risk,RSK000530,PRJ00054,Environmental,Environmental risk – Permits/Consents,0.37,2803272,1044331,Low,Open,Stakeholder Manager,2024-10-27,2025-03-20,,,,
Issue,ISS000362,PRJ00054,Procurement,Procurement issue – Productivity Delay,,,,Minor,Open,Engineering Manager,2023-07-10,2023-07-26,2023-11-07,,Productivity Delay,
Issue,ISS000363,PRJ00054,Procurement,Procurement issue – Productivity Delay,,,,Minor,Closed,Stakeholder Manager,2025-03-22,2025-03-27,2025-04-12,2025-04-13,Productivity Delay,
Issue,ISS000364,PRJ00054,Safety,Safety issue – Contractor Claims,,,,Major,In Progress,PMO Lead,2024-05-27,2024-07-18,2024-08-18,,Contractor Claims,
Risk,RSK000531,PRJ00055,Environmental,Environmental risk – Permits/Consents,0.57,8105349,4648806,Medium,Open,Commercial Manager,2023-04-07,2023-06-07,,,,
Risk,RSK000532,PRJ00055,Cost,Cost risk – Permits/Consents,0.52,8120930,4191637,Medium,Mitigating,HSE Lead,2024-02-01,2024-02-25,,,,
Risk,RSK000533,PRJ00055,Technical,Technical risk – Permits/Consents,0.42,3071841,1291922,Low,Open,Programme Controls,2023-10-04,2023-11-26,,,,
Risk,RSK000534,PRJ00055,Schedule,Schedule risk – Permits/Consents,0.23,13737225,3224405,Medium,Open,Engineering Manager,2024-04-07,2024-09-26,,,,
Risk,RSK000535,PRJ00055,Environmental,Environmental risk – Permits/Consents,0.23,5220417,1189625,Low,Open,Construction Manager,2025-04-26,2025-10-20,,,,
Risk,RSK000536,PRJ00055,Safety,Safety risk – Permits/Consents,0.25,3840381,974543,Low,Open,Consents Lead,2023-12-02,2024-02-03,,,,
Risk,RSK000537,PRJ00055,Regulatory,Regulatory risk – Permits/Consents,0.32,8297770,2680847,Medium,Mitigating,Construction Manager,2023-10-17,2024-03-14,,,,
Risk,RSK000538,PRJ00055,Cost,Cost risk – Permits/Consents,0.54,5817793,3153923,Medium,Open,Construction Manager,2024-09-29,2024-11-27,,,,
Issue,ISS000365,PRJ00055,Stakeholder,Stakeholder issue – Inflation/Materials,,,,Critical,In Progress,Consents Lead,2023-01-31,2023-01-31,2023-02-24,,Inflation/Materials,
Issue,ISS000366,PRJ00055,Resourcing,Resourcing issue – Procurement/Long Lead,,,,Minor,Closed,HSE Lead,2025-09-19,2025-12-03,2025-10-27,2025-10-30,Procurement/Long Lead,
Issue,ISS000367,PRJ00055,Construction,Construction issue – Procurement/Long Lead,,,,Minor,Closed,HSE Lead,2024-01-29,2024-03-24,2024-05-04,2024-03-31,Procurement/Long Lead,
