MilestoneID,ProjectID,MilestoneName,MilestonePhase,BaselineDate,ForecastDate,ActualDate,MilestoneStatus,DelayReason,OwnerRole
MS00037_033,PRJ00037,Contract Award,Procurement,2025-11-28,2025-12-02,2025-11-30,Completed,,HSE Lead
MS00037_034,PRJ00037,Route / Solution Selection,Planning & Consents,2025-11-29,2025-12-05,2025-12-16,Completed,,Programme Controls
MS00037_035,PRJ00037,Secondary / Protection Installed,Construction,2025-12-15,2025-12-24,2025-12-19,Completed,,Commercial Manager
MS00037_036,PRJ00037,Primary Plant Installed,Construction,2026-03-06,2026-03-30,,Due,,Engineering Manager
MS00037_037,PRJ00037,Primary Plant Installed,Construction,2026-04-20,2026-04-30,,Due,,PMO Lead
MS00037_038,PRJ00037,Foundation Complete,Construction,2026-04-21,2026-04-09,2026-01-18,Completed,,Programme Controls
MS00037_039,PRJ00037,Planning Approval,Planning & Consents,2026-05-20,2026-05-17,,Due,,PMO Lead
MS00037_040,PRJ00037,Planning Submission,Planning & Consents,2026-05-30,2026-06-08,,Due,,Stakeholder Manager
MS00037_041,PRJ00037,Testing & Commissioning Start,Commissioning,2026-06-08,2026-07-02,,Due,,Construction Manager
MS00037_042,PRJ00037,Energisation,Commissioning,2026-08-06,2026-09-02,,Due,,Commercial Manager
MS00037_043,PRJ00037,Stakeholder Engagement Plan,Planning & Consents,2026-08-12,2026-09-15,,Due,,Stakeholder Manager
MS00037_044,PRJ00037,Contract Award,Procurement,2026-08-14,2026-08-22,2026-01-18,Completed,,Construction Manager
MS00037_045,PRJ00037,Equipment Delivered,Procurement,2026-08-14,2026-09-01,2026-01-18,Completed,,Engineering Manager
MS00037_046,PRJ00037,Design Freeze,Design,2026-09-04,2026-08-23,,Due,,Construction Manager
MS00037_047,PRJ00037,Foundation Complete,Construction,2026-11-10,2026-11-23,2026-01-18,Completed,,Construction Manager
MS00037_048,PRJ00037,Planning Approval,Planning & Consents,2026-11-26,2026-11-15,2026-01-18,Completed,,Stakeholder Manager
MS00037_049,PRJ00037,Testing & Commissioning Start,Commissioning,2026-12-05,2026-12-10,,Due,,Programme Controls
MS00037_050,PRJ00037,Planning Approval,Planning & Consents,2027-01-22,2027-03-17,,Due,,HSE Lead
MS00037_051,PRJ00037,Long-lead Equipment Ordered,Procurement,2027-03-09,2027-03-20,,Due,,Consents Lead
MS00038_001,PRJ00038,Contract Award,Procurement,2024-09-25,2024-09-13,2024-09-11,Completed,,Stakeholder Manager
MS00038_002,PRJ00038,Environmental Surveys Complete,Planning & Consents,2024-10-10,2024-09-28,2024-10-04,Completed,,Stakeholder Manager
MS00038_003,PRJ00038,Detailed Design Complete,Design,2024-10-26,2024-12-06,2024-12-06,Completed,,HSE Lead
MS00038_004,PRJ00038,Secondary / Protection Installed,Construction,2024-11-06,2024-11-17,,Late,Weather/Events,Construction Manager
MS00038_005,PRJ00038,Handover to Operations,Commissioning,2024-11-11,2024-11-24,2024-11-26,Completed,,Engineering Manager
MS00038_006,PRJ00038,Energisation,Commissioning,2024-12-07,2024-12-10,2024-12-09,Completed,,Engineering Manager
MS00038_007,PRJ00038,Detailed Design Complete,Design,2024-12-12,2024-12-25,2024-12-19,Completed,,Construction Manager
MS00038_008,PRJ00038,Detailed Design Complete,Design,2025-01-28,2025-01-16,2025-01-09,Completed,,Stakeholder Manager
MS00038_009,PRJ00038,Stakeholder Engagement Plan,Planning & Consents,2025-03-01,2025-02-22,2025-03-04,Completed,,Construction Manager
MS00038_010,PRJ00038,Concept Design Complete,Design,2025-04-15,2025-04-23,,Late,Weather/Events,Engineering Manager
MS00038_011,PRJ00038,Construction Start,Construction,2025-06-24,2025-06-12,2025-06-04,Completed,,Construction Manager
MS00038_012,PRJ00038,Concept Design Complete,Design,2025-07-21,2025-07-22,2025-07-31,Completed,,Consents Lead
MS00038_013,PRJ00038,Primary Plant Installed,Construction,2025-07-31,2025-07-31,2025-07-26,Completed,,Programme Controls
MS00038_014,PRJ00038,Stakeholder Engagement Plan,Planning & Consents,2025-08-24,2025-08-25,2025-09-01,Completed,,Programme Controls
MS00038_015,PRJ00038,Tender Issued,Procurement,2025-08-29,2025-08-26,2025-08-28,Completed,,Consents Lead
MS00038_016,PRJ00038,Concept Design Complete,Design,2025-09-27,2025-09-17,,Late,Weather/Events,Construction Manager
MS00038_017,PRJ00038,Long-lead Equipment Ordered,Procurement,2025-10-15,2025-10-03,,Late,Weather/Events,Engineering Manager
MS00038_018,PRJ00038,Route / Solution Selection,Planning & Consents,2025-11-09,2025-11-17,2025-11-14,Completed,,Construction Manager
MS00038_019,PRJ00038,Contract Award,Procurement,2025-11-10,2025-11-11,2025-11-14,Completed,,Engineering Manager
MS00038_020,PRJ00038,Contract Award,Procurement,2025-11-30,2025-11-18,2025-11-14,Completed,,Stakeholder Manager
MS00038_021,PRJ00038,Energisation,Commissioning,2026-01-06,2026-01-13,2026-01-13,Completed,,HSE Lead
MS00038_022,PRJ00038,Concept Design Complete,Design,2026-02-16,2026-02-17,,Due,,Programme Controls
MS00038_023,PRJ00038,Contract Award,Procurement,2026-04-12,2026-04-11,,Due,,Stakeholder Manager
MS00038_024,PRJ00038,Planning Approval,Planning & Consents,2026-05-23,2026-05-11,,Due,,Stakeholder Manager
MS00038_025,PRJ00038,Long-lead Equipment Ordered,Procurement,2026-07-27,2026-08-13,,Due,,PMO Lead
MS00038_026,PRJ00038,Site Mobilisation,Construction,2026-08-07,2026-07-26,,Due,,Programme Controls
MS00038_027,PRJ00038,Design Freeze,Design,2026-08-07,2026-08-14,,Due,,Programme Controls
MS00038_028,PRJ00038,Energisation,Commissioning,2026-10-10,2026-10-03,,Due,,Construction Manager
MS00038_029,PRJ00038,Foundation Complete,Construction,2026-10-14,2026-10-14,,Due,,Consents Lead
MS00038_030,PRJ00038,Closeout & Benefits Review,Commissioning,2026-10-24,2026-11-17,,Due,,Engineering Manager
MS00038_031,PRJ00038,Energisation,Commissioning,2026-10-29,2026-11-13,,Due,,Consents Lead
MS00038_032,PRJ00038,Detailed Design Complete,Design,2026-11-05,2026-11-29,2026-01-18,Completed,,Stakeholder Manager
MS00038_033,PRJ00038,Detailed Design Complete,Design,2026-12-07,2026-12-18,,Due,,Programme Controls
MS00038_034,PRJ00038,Planning Submission,Planning & Consents,2027-01-01,2027-01-13,,Due,,Construction Manager
MS00038_035,PRJ00038,Construction Start,Construction,2027-01-02,2026-12-21,2026-01-18,Completed,,Programme Controls
MS00038_036,PRJ00038,Primary Plant Installed,Construction,2027-01-11,2027-01-12,,Due,,HSE Lead
MS00038_037,PRJ00038,Design Freeze,Design,2027-01-17,2027-01-19,2026-01-18,Completed,,PMO Lead
MS00038_038,PRJ00038,Route / Solution Selection,Planning & Consents,2027-01-22,2027-02-17,,Due,,Programme Controls
MS00038_039,PRJ00038,Testing & Commissioning Start,Commissioning,2027-02-16,2027-02-14,,Due,,Programme Controls
MS00038_040,PRJ00038,Environmental Surveys Complete,Planning & Consents,2027-02-27,2027-03-09,,Due,,Consents Lead
MS00038_041,PRJ00038,Site Mobilisation,Construction,2027-03-08,2027-03-18,,Due,,Programme Controls
MS00038_042,PRJ00038,Construction Start,Construction,2027-04-10,2027-05-05,2026-01-18,Completed,,Commercial Manager
MS00038_043,PRJ00038,Stakeholder Engagement Plan,Planning & Consents,2027-04-23,2027-04-27,,Due,,Programme Controls
MS00038_044,PRJ00038,Handover to Operations,Commissioning,2027-05-11,2027-05-30,,Due,,Construction Manager
MS00038_045,PRJ00038,Civils Complete,Construction,2027-05-18,2027-05-06,,Due,,Consents Lead
MS00038_046,PRJ00038,Route / Solution Selection,Planning & Consents,2027-07-14,2027-07-02,,Due,,Programme Controls
MS00038_047,PRJ00038,Planning Submission,Planning & Consents,2027-08-28,2027-08-16,,Due,,Engineering Manager
MS00039_001,PRJ00039,Closeout & Benefits Review,Commissioning,2024-10-26,2024-11-10,,Late,Stakeholder/Community,PMO Lead
MS00039_002,PRJ00039,Planning Approval,Planning & Consents,2024-11-01,2024-10-24,2024-10-26,Completed,,PMO Lead
MS00039_003,PRJ00039,Detailed Design Complete,Design,2024-11-07,2024-12-07,2024-12-10,Completed,,Engineering Manager
MS00039_004,PRJ00039,Design Freeze,Design,2024-11-24,2024-11-12,2024-11-14,Completed,,Stakeholder Manager
MS00039_005,PRJ00039,Civils Complete,Construction,2025-01-09,2025-01-19,2025-01-22,Completed,,Stakeholder Manager
MS00039_006,PRJ00039,Construction Start,Construction,2025-01-09,2025-01-23,2025-01-24,Completed,,Consents Lead
MS00039_007,PRJ00039,Civils Complete,Construction,2025-02-04,2025-01-27,,Late,Stakeholder/Community,Commercial Manager
MS00039_008,PRJ00039,Route / Solution Selection,Planning & Consents,2025-02-05,2025-02-22,2025-02-22,Completed,,PMO Lead
MS00039_009,PRJ00039,Construction Start,Construction,2025-02-06,2025-02-04,2025-02-15,Completed,,Construction Manager
MS00039_010,PRJ00039,Environmental Surveys Complete,Planning & Consents,2025-02-25,2025-03-14,2025-03-17,Completed,,Consents Lead
MS00039_011,PRJ00039,Environmental Surveys Complete,Planning & Consents,2025-03-08,2025-02-24,2025-02-19,Completed,,Commercial Manager
MS00039_012,PRJ00039,Secondary / Protection Installed,Construction,2025-03-31,2025-04-11,2025-04-23,Completed,,PMO Lead
MS00039_013,PRJ00039,Planning Approval,Planning & Consents,2025-04-10,2025-04-09,2025-04-05,Completed,,HSE Lead
MS00039_014,PRJ00039,Route / Solution Selection,Planning & Consents,2025-04-28,2025-05-22,2025-05-31,Completed,,PMO Lead
MS00039_015,PRJ00039,Long-lead Equipment Ordered,Procurement,2025-05-01,2025-05-06,2025-05-07,Completed,,Engineering Manager
MS00039_016,PRJ00039,Primary Plant Installed,Construction,2025-05-03,2025-05-29,2025-05-23,Completed,,PMO Lead
MS00039_017,PRJ00039,Equipment Delivered,Procurement,2025-05-15,2025-05-29,2025-05-31,Completed,,Consents Lead
MS00039_018,PRJ00039,Planning Approval,Planning & Consents,2025-05-26,2025-05-30,2025-05-28,Completed,,Construction Manager
MS00039_019,PRJ00039,Secondary / Protection Installed,Construction,2025-06-09,2025-06-28,2025-06-23,Completed,,Stakeholder Manager
MS00039_020,PRJ00039,Tender Issued,Procurement,2025-06-14,2025-07-03,2025-07-11,Completed,,Construction Manager
MS00039_021,PRJ00039,Primary Plant Installed,Construction,2025-06-19,2025-07-03,2025-06-30,Completed,,Consents Lead
MS00039_022,PRJ00039,Land Access Secured,Planning & Consents,2025-06-24,2025-06-12,2025-06-09,Completed,,HSE Lead
MS00039_023,PRJ00039,Handover to Operations,Commissioning,2025-07-05,2025-06-25,2025-06-29,Completed,,Engineering Manager
MS00039_024,PRJ00039,Energisation,Commissioning,2025-07-08,2025-08-05,2025-08-05,Completed,,Construction Manager
MS00039_025,PRJ00039,Closeout & Benefits Review,Commissioning,2025-07-13,2025-07-01,2025-06-26,Completed,,Commercial Manager
MS00039_026,PRJ00039,Tender Issued,Procurement,2025-07-28,2025-08-17,2025-08-24,Completed,,Stakeholder Manager
MS00039_027,PRJ00039,Primary Plant Installed,Construction,2025-08-04,2025-08-21,,Late,Stakeholder/Community,PMO Lead
MS00039_028,PRJ00039,Equipment Delivered,Procurement,2025-08-06,2025-07-31,2025-08-02,Completed,,Consents Lead
MS00039_029,PRJ00039,Stakeholder Engagement Plan,Planning & Consents,2025-08-18,2025-08-06,2025-08-11,Completed,,Stakeholder Manager
MS00039_030,PRJ00039,Planning Approval,Planning & Consents,2025-08-19,2025-08-16,2025-08-26,Completed,,Consents Lead
MS00039_031,PRJ00039,Tender Issued,Procurement,2025-08-19,2025-09-27,2025-09-25,Completed,,PMO Lead
MS00039_032,PRJ00039,Land Access Secured,Planning & Consents,2025-09-07,2025-08-30,2025-08-21,Completed,,Construction Manager
MS00039_033,PRJ00039,Construction Start,Construction,2025-09-07,2025-08-31,2025-08-28,Completed,,PMO Lead
MS00039_034,PRJ00039,Planning Approval,Planning & Consents,2025-10-13,2025-10-03,2025-10-11,Completed,,Programme Controls
MS00039_035,PRJ00039,Construction Start,Construction,2025-11-03,2025-11-28,2025-11-27,Completed,,Commercial Manager
MS00039_036,PRJ00039,Land Access Secured,Planning & Consents,2025-11-27,2025-11-29,2025-12-02,Completed,,HSE Lead
MS00039_037,PRJ00039,Land Access Secured,Planning & Consents,2025-11-29,2025-11-25,2025-11-25,Completed,,Commercial Manager
MS00039_038,PRJ00039,Design Freeze,Design,2025-12-10,2026-01-08,,Late,Stakeholder/Community,Stakeholder Manager
MS00039_039,PRJ00039,Detailed Design Complete,Design,2025-12-19,2026-01-03,2026-01-06,Completed,,Consents Lead
MS00039_040,PRJ00039,Contract Award,Procurement,2026-01-09,2025-12-31,2025-12-30,Completed,,Consents Lead
MS00039_041,PRJ00039,Design Freeze,Design,2026-01-21,2026-01-09,2026-01-12,Completed,,Engineering Manager
MS00039_042,PRJ00039,Design Freeze,Design,2026-02-13,2026-03-10,2026-01-18,Completed,,PMO Lead
MS00039_043,PRJ00039,Design Freeze,Design,2026-02-22,2026-02-28,,Due,,Construction Manager
MS00039_044,PRJ00039,Tender Issued,Procurement,2026-02-25,2026-02-13,,Due,,Stakeholder Manager
MS00039_045,PRJ00039,Energisation,Commissioning,2026-03-17,2026-03-05,,Due,,HSE Lead
MS00039_046,PRJ00039,Site Mobilisation,Construction,2026-03-29,2026-03-17,,Due,,Programme Controls
MS00039_047,PRJ00039,Contract Award,Procurement,2026-04-07,2026-03-26,,Due,,HSE Lead
MS00039_048,PRJ00039,Primary Plant Installed,Construction,2026-04-08,2026-03-27,,Due,,Commercial Manager
MS00039_049,PRJ00039,Equipment Delivered,Procurement,2026-04-21,2026-04-09,,Due,,PMO Lead
MS00039_050,PRJ00039,As-built Documentation Complete,Commissioning,2026-04-21,2026-04-12,,Due,,HSE Lead
MS00039_051,PRJ00039,Site Mobilisation,Construction,2026-04-23,2026-04-22,,Due,,Construction Manager
MS00039_052,PRJ00039,Environmental Surveys Complete,Planning & Consents,2026-05-06,2026-06-08,,Due,,Commercial Manager
MS00039_053,PRJ00039,Site Mobilisation,Construction,2026-05-06,2026-05-08,,Due,,HSE Lead
MS00039_054,PRJ00039,Secondary / Protection Installed,Construction,2026-06-06,2026-06-09,,Due,,Programme Controls
MS00039_055,PRJ00039,Environmental Surveys Complete,Planning & Consents,2026-06-11,2026-06-25,2026-01-18,Completed,,Commercial Manager
MS00039_056,PRJ00039,Land Access Secured,Planning & Consents,2026-06-12,2026-06-14,2026-01-18,Completed,,Construction Manager
MS00039_057,PRJ00039,Construction Start,Construction,2026-06-22,2026-07-04,,Due,,Stakeholder Manager
MS00039_058,PRJ00039,Handover to Operations,Commissioning,2026-06-22,2026-07-02,2026-01-18,Completed,,HSE Lead
MS00039_059,PRJ00039,Design Freeze,Design,2026-07-12,2026-07-20,,Due,,Consents Lead
MS00040_001,PRJ00040,Energisation,Commissioning,2024-12-20,2024-12-25,,Late,Contractor Capacity,Construction Manager
MS00040_002,PRJ00040,Contract Award,Procurement,2025-03-10,2025-02-27,2025-02-27,Completed,,Consents Lead
MS00040_003,PRJ00040,Contract Award,Procurement,2025-04-26,2025-04-20,2025-04-16,Completed,,HSE Lead
MS00040_004,PRJ00040,Construction Start,Construction,2025-05-16,2025-05-16,2025-05-03,Completed,,Stakeholder Manager
MS00040_005,PRJ00040,Site Mobilisation,Construction,2025-05-28,2025-07-06,2025-07-04,Completed,,Commercial Manager
MS00040_006,PRJ00040,As-built Documentation Complete,Commissioning,2025-08-28,2025-08-16,,Late,Contractor Capacity,Consents Lead
MS00040_007,PRJ00040,Secondary / Protection Installed,Construction,2025-09-19,2025-09-18,2025-09-01,Completed,,Programme Controls
MS00040_008,PRJ00040,Detailed Design Complete,Design,2025-11-10,2025-11-18,,Late,Contractor Capacity,PMO Lead
MS00040_009,PRJ00040,Handover to Operations,Commissioning,2025-12-03,2025-12-04,2025-12-14,Completed,,HSE Lead
MS00040_010,PRJ00040,Tender Issued,Procurement,2025-12-12,2026-01-04,2026-01-03,Completed,,Commercial Manager
MS00040_011,PRJ00040,Secondary / Protection Installed,Construction,2025-12-14,2025-12-15,2025-12-24,Completed,,PMO Lead
MS00040_012,PRJ00040,Closeout & Benefits Review,Commissioning,2026-01-27,2026-01-29,,Due,,PMO Lead
MS00040_013,PRJ00040,Testing & Commissioning Start,Commissioning,2026-02-07,2026-02-26,,Due,,Stakeholder Manager
MS00040_014,PRJ00040,Planning Submission,Planning & Consents,2026-02-28,2026-04-04,,Due,,Stakeholder Manager
MS00040_015,PRJ00040,Land Access Secured,Planning & Consents,2026-04-13,2026-05-12,,Due,,Engineering Manager
MS00040_016,PRJ00040,Testing & Commissioning Start,Commissioning,2026-05-05,2026-05-09,,Due,,HSE Lead
MS00040_017,PRJ00040,Planning Submission,Planning & Consents,2026-05-26,2026-05-31,,Due,,PMO Lead
MS00040_018,PRJ00040,Route / Solution Selection,Planning & Consents,2026-08-22,2026-08-29,,Due,,Construction Manager
MS00040_019,PRJ00040,Concept Design Complete,Design,2026-09-07,2026-09-15,,Due,,Stakeholder Manager
MS00040_020,PRJ00040,Long-lead Equipment Ordered,Procurement,2026-10-07,2026-09-29,,Due,,Stakeholder Manager
MS00040_021,PRJ00040,Planning Approval,Planning & Consents,2026-10-24,2026-11-14,,Due,,Commercial Manager
MS00040_022,PRJ00040,Construction Start,Construction,2026-11-03,2026-11-12,,Due,,Consents Lead
MS00040_023,PRJ00040,Design Freeze,Design,2026-11-17,2026-11-22,2026-01-18,Completed,,HSE Lead
MS00040_024,PRJ00040,Construction Start,Construction,2026-12-14,2026-12-02,,Due,,Consents Lead
MS00040_025,PRJ00040,Site Mobilisation,Construction,2026-12-25,2027-01-01,,Due,,Commercial Manager
MS00040_026,PRJ00040,Testing & Commissioning Start,Commissioning,2027-01-17,2027-01-05,,Due,,Stakeholder Manager
MS00040_027,PRJ00040,Closeout & Benefits Review,Commissioning,2027-02-05,2027-02-02,2026-01-18,Completed,,Commercial Manager
MS00040_028,PRJ00040,Route / Solution Selection,Planning & Consents,2027-03-19,2027-03-16,,Due,,Engineering Manager
MS00040_029,PRJ00040,Civils Complete,Construction,2027-04-11,2027-04-22,2026-01-18,Completed,,PMO Lead
MS00040_030,PRJ00040,Planning Approval,Planning & Consents,2027-05-02,2027-06-07,,Due,,Construction Manager
MS00040_031,PRJ00040,Design Freeze,Design,2027-05-04,2027-05-19,,Due,,Consents Lead
MS00040_032,PRJ00040,Design Freeze,Design,2027-05-14,2027-06-12,,Due,,Consents Lead
MS00040_033,PRJ00040,Civils Complete,Construction,2027-05-23,2027-06-08,2026-01-18,Completed,,Commercial Manager
MS00040_034,PRJ00040,Concept Design Complete,Design,2027-05-27,2027-06-20,,Due,,Stakeholder Manager
MS00040_035,PRJ00040,Handover to Operations,Commissioning,2027-07-15,2027-08-20,,Due,,Stakeholder Manager
MS00040_036,PRJ00040,Tender Issued,Procurement,2027-07-23,2027-07-17,,Due,,HSE Lead
MS00040_037,PRJ00040,Testing & Commissioning Start,Commissioning,2027-07-27,2027-07-20,,Due,,Stakeholder Manager
MS00040_038,PRJ00040,As-built Documentation Complete,Commissioning,2027-08-21,2027-09-07,,Due,,PMO Lead
MS00040_039,PRJ00040,Equipment Delivered,Procurement,2027-09-12,2027-09-18,,Due,,PMO Lead
MS00040_040,PRJ00040,Planning Submission,Planning & Consents,2027-09-16,2027-09-26,,Due,,Consents Lead
MS00040_041,PRJ00040,Civils Complete,Construction,2027-09-17,2027-09-19,,Due,,HSE Lead
MS00040_042,PRJ00040,Contract Award,Procurement,2027-10-06,2027-10-02,,Due,,Commercial Manager
MS00040_043,PRJ00040,Detailed Design Complete,Design,2027-11-20,2027-12-22,,Due,,Programme Controls
MS00040_044,PRJ00040,Contract Award,Procurement,2027-11-22,2027-11-10,2026-01-18,Completed,,Stakeholder Manager
MS00040_045,PRJ00040,Detailed Design Complete,Design,2027-12-01,2027-12-18,2026-01-18,Completed,,Construction Manager
MS00040_046,PRJ00040,Concept Design Complete,Design,2028-01-05,2028-01-19,2026-01-18,Completed,,Stakeholder Manager
MS00040_047,PRJ00040,Planning Approval,Planning & Consents,2028-02-16,2028-02-04,,Due,,Stakeholder Manager
MS00040_048,PRJ00040,Concept Design Complete,Design,2028-02-19,2028-02-12,,Due,,Programme Controls
MS00040_049,PRJ00040,Long-lead Equipment Ordered,Procurement,2028-03-28,2028-03-23,,Due,,Programme Controls
MS00040_050,PRJ00040,Primary Plant Installed,Construction,2028-03-31,2028-04-15,,Due,,Engineering Manager
MS00040_051,PRJ00040,Environmental Surveys Complete,Planning & Consents,2028-04-01,2028-04-01,,Due,,Stakeholder Manager
MS00040_052,PRJ00040,Construction Start,Construction,2028-04-10,2028-04-15,,Due,,HSE Lead
MS00041_001,PRJ00041,Land Access Secured,Planning & Consents,2024-01-10,2024-03-22,2024-03-23,Completed,,PMO Lead
MS00041_002,PRJ00041,Secondary / Protection Installed,Construction,2024-02-01,2024-03-15,2024-03-31,Completed,,Consents Lead
MS00041_003,PRJ00041,Planning Approval,Planning & Consents,2024-02-25,2024-05-22,2024-05-21,Completed,,Engineering Manager
MS00041_004,PRJ00041,Foundation Complete,Construction,2024-03-16,2024-04-24,2024-04-18,Completed,,Stakeholder Manager
MS00041_005,PRJ00041,Civils Complete,Construction,2024-03-22,2024-05-20,2024-05-17,Completed,,HSE Lead
MS00041_006,PRJ00041,Planning Approval,Planning & Consents,2024-03-29,2024-05-07,2024-05-01,Completed,,Engineering Manager
MS00041_007,PRJ00041,Energisation,Commissioning,2024-03-31,2024-06-06,2024-06-12,Completed,,Stakeholder Manager
MS00041_008,PRJ00041,Stakeholder Engagement Plan,Planning & Consents,2024-06-09,2024-07-15,2024-07-25,Completed,,PMO Lead
MS00041_009,PRJ00041,Primary Plant Installed,Construction,2024-06-13,2024-09-30,2024-10-13,Completed,,Construction Manager
MS00041_010,PRJ00041,Construction Start,Construction,2024-07-11,2024-11-11,2024-11-11,Completed,,Engineering Manager
MS00041_011,PRJ00041,Planning Submission,Planning & Consents,2024-07-11,2024-09-30,2024-09-30,Completed,,Stakeholder Manager
MS00041_012,PRJ00041,Equipment Delivered,Procurement,2024-07-20,2024-11-02,,Late,Contractor Capacity,Commercial Manager
MS00041_013,PRJ00041,Testing & Commissioning Start,Commissioning,2024-08-05,2024-07-31,2024-08-03,Completed,,Programme Controls
MS00041_014,PRJ00041,Environmental Surveys Complete,Planning & Consents,2024-08-09,2024-08-08,,Late,Contractor Capacity,Engineering Manager
MS00041_015,PRJ00041,Construction Start,Construction,2024-11-17,2024-12-25,2024-12-15,Completed,,Construction Manager
MS00041_016,PRJ00041,Detailed Design Complete,Design,2024-11-24,2025-01-14,2025-01-11,Completed,,Commercial Manager
MS00041_017,PRJ00041,Concept Design Complete,Design,2024-12-25,2025-02-06,2025-02-02,Completed,,Programme Controls
MS00041_018,PRJ00041,Construction Start,Construction,2024-12-26,2024-12-17,,Late,Contractor Capacity,Engineering Manager
MS00041_019,PRJ00041,Design Freeze,Design,2025-01-11,2025-04-12,2025-04-07,Completed,,Commercial Manager
MS00041_020,PRJ00041,Long-lead Equipment Ordered,Procurement,2025-02-24,2025-07-02,2025-07-06,Completed,,Commercial Manager
MS00041_021,PRJ00041,Land Access Secured,Planning & Consents,2025-02-27,2025-06-03,2025-06-04,Completed,,PMO Lead
MS00041_022,PRJ00041,Tender Issued,Procurement,2025-03-03,2025-05-31,2025-06-02,Completed,,Consents Lead
MS00041_023,PRJ00041,Construction Start,Construction,2025-03-06,2025-05-03,2025-05-03,Completed,,Stakeholder Manager
MS00041_024,PRJ00041,Tender Issued,Procurement,2025-04-04,2025-04-24,2025-04-23,Completed,,Construction Manager
MS00041_025,PRJ00041,Foundation Complete,Construction,2025-04-08,2025-05-31,2025-05-19,Completed,,Consents Lead
MS00041_026,PRJ00041,Planning Submission,Planning & Consents,2025-05-04,2025-09-07,2025-09-17,Completed,,HSE Lead
MS00041_027,PRJ00041,Planning Approval,Planning & Consents,2025-06-13,2025-07-20,2025-07-18,Completed,,PMO Lead
MS00041_028,PRJ00041,Energisation,Commissioning,2025-06-20,2025-07-24,2025-07-26,Completed,,Construction Manager
MS00041_029,PRJ00041,Long-lead Equipment Ordered,Procurement,2025-07-23,2025-10-21,2025-10-19,Completed,,HSE Lead
MS00041_030,PRJ00041,Construction Start,Construction,2025-07-27,2025-10-27,2025-10-20,Completed,,Consents Lead
MS00041_031,PRJ00041,Primary Plant Installed,Construction,2025-08-16,2025-09-04,,Late,Contractor Capacity,Consents Lead
MS00041_032,PRJ00041,Planning Approval,Planning & Consents,2025-09-23,2025-11-03,2025-11-04,Completed,,Stakeholder Manager
MS00041_033,PRJ00041,Closeout & Benefits Review,Commissioning,2025-10-02,2025-11-03,2025-10-28,Completed,,Construction Manager
MS00041_034,PRJ00041,Contract Award,Procurement,2025-10-10,2025-12-02,,Late,Contractor Capacity,Commercial Manager
MS00041_035,PRJ00041,Handover to Operations,Commissioning,2025-11-10,2026-02-08,,Forecast,Contractor Capacity,Engineering Manager
MS00041_036,PRJ00041,Contract Award,Procurement,2025-12-08,2025-12-29,2025-12-20,Completed,,Programme Controls
MS00041_037,PRJ00041,Detailed Design Complete,Design,2025-12-10,2026-03-09,,Forecast,Contractor Capacity,HSE Lead
MS00041_038,PRJ00041,Construction Start,Construction,2026-01-03,2026-02-26,,Forecast,Contractor Capacity,Engineering Manager
MS00041_039,PRJ00041,Land Access Secured,Planning & Consents,2026-02-01,2026-06-15,,Due,,Construction Manager
MS00041_040,PRJ00041,Construction Start,Construction,2026-02-19,2026-04-21,,Due,,Stakeholder Manager
MS00041_041,PRJ00041,Closeout & Benefits Review,Commissioning,2026-03-02,2026-04-18,,Due,,Construction Manager
MS00041_042,PRJ00041,Foundation Complete,Construction,2026-03-02,2026-05-12,,Due,,Consents Lead
MS00041_043,PRJ00041,Stakeholder Engagement Plan,Planning & Consents,2026-03-06,2026-04-13,2026-01-18,Completed,,Stakeholder Manager
MS00041_044,PRJ00041,Civils Complete,Construction,2026-03-14,2026-03-02,2026-01-18,Completed,,Commercial Manager
MS00041_045,PRJ00041,Route / Solution Selection,Planning & Consents,2026-04-10,2026-05-21,,Due,,Consents Lead
MS00041_046,PRJ00041,Planning Submission,Planning & Consents,2026-04-25,2026-06-05,,Due,,Construction Manager
MS00041_047,PRJ00041,Concept Design Complete,Design,2026-06-04,2026-05-28,,Due,,Construction Manager
MS00041_048,PRJ00041,Detailed Design Complete,Design,2026-06-24,2026-08-10,,Due,,PMO Lead
MS00041_049,PRJ00041,Route / Solution Selection,Planning & Consents,2026-07-02,2026-06-20,,Due,,HSE Lead
MS00041_050,PRJ00041,Route / Solution Selection,Planning & Consents,2026-08-06,2026-09-12,,Due,,Engineering Manager
MS00041_051,PRJ00041,Secondary / Protection Installed,Construction,2026-08-19,2026-10-17,,Due,,Stakeholder Manager
MS00041_052,PRJ00041,Contract Award,Procurement,2026-08-20,2026-10-12,,Due,,PMO Lead
MS00041_053,PRJ00041,Land Access Secured,Planning & Consents,2026-08-21,2026-09-25,,Due,,Consents Lead
MS00041_054,PRJ00041,Contract Award,Procurement,2026-10-20,2026-12-06,,Due,,Programme Controls
MS00041_055,PRJ00041,Civils Complete,Construction,2026-11-13,2026-12-05,,Due,,HSE Lead
MS00041_056,PRJ00041,Planning Approval,Planning & Consents,2026-11-14,2027-01-03,,Due,,Commercial Manager
MS00041_057,PRJ00041,Concept Design Complete,Design,2026-12-29,2027-02-19,,Due,,HSE Lead
MS00041_058,PRJ00041,Contract Award,Procurement,2027-01-09,2027-01-27,,Due,,PMO Lead
MS00042_001,PRJ00042,Secondary / Protection Installed,Construction,2026-04-30,2026-04-30,,Due,,Programme Controls
